src_key,dst_key,match_type
borsos2023audiolm,chung2021w2v,arxiv
borsos2023audiolm,devlin2019bert,arxiv
borsos2023audiolm,dhariwal2020jukebox,arxiv
borsos2023audiolm,dunbar2021zero,arxiv
borsos2023audiolm,esser2021taming,arxiv
borsos2023audiolm,gpt,arxiv
borsos2023audiolm,gulati_conformer,arxiv
borsos2023audiolm,hsu2021hubert,arxiv
borsos2023audiolm,kankanahalli2018end,arxiv
borsos2023audiolm,kharitonov2022textfreeprosodyawaregenerativespoken,arxiv
borsos2023audiolm,kong2020hifigan,arxiv
borsos2023audiolm,lakhotia2021generative,paperId
borsos2023audiolm,oord2016wavenet,arxiv
borsos2023audiolm,petermann2021harp,arxiv
borsos2023audiolm,raffel2020exploring,arxiv
borsos2023audiolm,transformer,arxiv
borsos2023audiolm,vqvae2017,arxiv
borsos2023audiolm,zeghidour2021soundstream,arxiv
borsos2023soundstorm,7178964,paperId
borsos2023soundstorm,baevski2020wav2vec,arxiv
borsos2023soundstorm,borsos2023audiolm,arxiv
borsos2023soundstorm,chen2022wavlm,arxiv
borsos2023soundstorm,chiu2022bestrq,arxiv
borsos2023soundstorm,chung2021w2v,arxiv
borsos2023soundstorm,defossez2022high,arxiv
borsos2023soundstorm,gulati_conformer,arxiv
borsos2023soundstorm,hsu2021hubert,arxiv
borsos2023soundstorm,kharitonov2023speak,arxiv
borsos2023soundstorm,kreuk2022audiogen,arxiv
borsos2023soundstorm,lakhotia2021generative,paperId
borsos2023soundstorm,transformer,arxiv
borsos2023soundstorm,wang2023neural,arxiv
borsos2023soundstorm,zeghidour2021soundstream,arxiv
casanova2024lfsc,ai2024apcodec,arxiv
casanova2024lfsc,ardila2019common,arxiv
casanova2024lfsc,borsos2023audiolm,arxiv
casanova2024lfsc,chen2022wavlm,arxiv
casanova2024lfsc,copet2024musicgen,arxiv
casanova2024lfsc,defossez2022high,arxiv
casanova2024lfsc,garbacea2019low,arxiv
casanova2024lfsc,ji2024wavtokenizer,arxiv
casanova2024lfsc,kankanahalli2018end,arxiv
casanova2024lfsc,kong2020hifigan,arxiv
casanova2024lfsc,kumar2023high,arxiv
casanova2024lfsc,le2019sdr,arxiv
casanova2024lfsc,radford2023robust,arxiv
casanova2024lfsc,ren2024ticodec,arxiv
casanova2024lfsc,vqvae2017,arxiv
casanova2024lfsc,wang2023neural,arxiv
casanova2024lfsc,yang2023hifi,arxiv
casanova2024lfsc,zeghidour2021soundstream,arxiv
casanova2024lfsc,zen2019libritts,paperId
casanova2024lfsc,zhang2023speechtokenizer,arxiv
chang2022speechprompt,7178964,paperId
chang2022speechprompt,baevski2020wav2vec,arxiv
chang2022speechprompt,chen2022wavlm,arxiv
chang2022speechprompt,hsu2021hubert,arxiv
chang2022speechprompt,lakhotia2021generative,paperId
chang2022speechprompt,lester2021power,arxiv
chang2022speechprompt,liu2023gpt,arxiv
chang2022speechprompt,liu2023pre,arxiv
chang2022speechprompt,raffel2020exploring,arxiv
chang2022speechprompt,transformer,arxiv
chang2022speechprompt,warden2017speech,arxiv
chang2022speechprompt,yang2021superb,arxiv
chang2023exploration,7178964,paperId
chang2023exploration,baevski2020wav2vec,arxiv
chang2023exploration,chen2022wavlm,arxiv
chang2023exploration,defossez2022high,arxiv
chang2023exploration,devlin2019bert,arxiv
chang2023exploration,espnet,arxiv
chang2023exploration,gulati_conformer,arxiv
chang2023exploration,hayashi2020discretalk,arxiv
chang2023exploration,hsu2021hubert,arxiv
chang2023exploration,transformer,arxiv
chang2023exploration,vqvae2017,arxiv
chang2023exploration,wang2023neural,arxiv
chang2023exploration,yang2021superb,arxiv
chang2023exploration,zeghidour2021soundstream,arxiv
chang2023exploring,7178964,paperId
chang2023exploring,ardila2019common,arxiv
chang2023exploring,baevski2020wav2vec,arxiv
