key,title,label,source,source_id,arxiv_id,doi,s2_paper_id
sicherman2023analysing,Analysing Discrete Self Supervised Speech Representation for Spoken Language Modeling,B,arxiv,2301.00591v3,2301.00591,,646da9e8e41fe58f9ee226499fda1b7fcdc1a58f
arora2025landscape,On The Landscape of Spoken Language Models: A Comprehensive Survey,B,arxiv,2504.08528v1,2504.08528,,a78c6984a026be130245aecf1ff7574c1c430d86
chen2023lauragpt,"LauraGPT: Listen, Attend, Understand, and Regenerate Audio with GPT",B,arxiv,2310.04673v4,2310.04673,,ffa05cb5504ba08254f498223f613b3ebcf87692
borsos2023soundstorm,SoundStorm: Efficient Parallel Audio Generation,B,arxiv,2305.09636v1,2305.09636,,2183c88e9056e931b07d48f1dc44360785952073
wang2023viola,"VioLA: Unified Codec Language Models for Speech Recognition, Synthesis, and Translation",B,arxiv,2305.16107v1,2305.16107,,42e726e2ea5bbb946001947d1a5b31ccc6b7aef9
wang2023speechx,SpeechX: Neural Codec Language Model as a Versatile Speech Transformer,B,arxiv,2308.06873v2,2308.06873,,763221f613adcc2f1f306fd76ab1912fcb50255b
kreuk2022audiogen,AudioGen: Textually Guided Audio Generation,B,arxiv,2209.15352v2,2209.15352,,ebb85974e06c4879b451fdfcb4f472a09471935b
desplanques2020ecapa,"ECAPA-TDNN: Emphasized Channel Attention, Propagation and Aggregation in TDNN Based Speaker Verification",C,arxiv,2005.07143v3,2005.07143,,9609f4817a7e769f5e3e07084db35e46696e82cd
ardila2019common,Common Voice: A Massively-Multilingual Speech Corpus,C,arxiv,1912.06670v2,1912.06670,,63a71de0dafc90910e37a2b07169ff486d9b5fe5
agostinelli2023musiclm,MusicLM: Generating Music From Text,C,arxiv,2301.11325v1,2301.11325,,428854d9e75f94f0e61f37c6887c77800437d516
yang2023uniaudio,UniAudio: Towards Universal Audio Generation with Large Language Models,B,semantic_scholar,61632c78b26ca366b5a1c8cbf3d0f50981126e8e,,,61632c78b26ca366b5a1c8cbf3d0f50981126e8e
wells2022phonetic,Phonetic Analysis of Self-supervised Representations of English Speech,B,semantic_scholar,fc5c506887b53d0e132cb6a4fb239c92cd5c9830,,,fc5c506887b53d0e132cb6a4fb239c92cd5c9830
polyak2021speech,Speech Resynthesis from Discrete Disentangled Self-Supervised Representations,B,arxiv,2104.00355v3,2104.00355,,51a79a45e2577bffca0a50992a852c73d7a13ffa
du2025codecfake,CodecFake+: A Large-Scale Neural Audio Codec-Based Deepfake Speech Dataset,C,arxiv,2501.08238,2501.08238,,7e01d88bd34eec4ce0214263e44cabb09e545c00
touvron2023llama,Llama 2: Open Foundation and Fine-Tuned Chat Models,C,arxiv,2307.09288v2,2307.09288,,104b0bb1da562d53cbda87aec79ef6a2827d191a
defossez2024moshi,Moshi: a speech-text foundation model for real-time dialogue,B,arxiv,2410.00037v2,2410.00037,,ae4aa7b0c5a327dae63ad20e00b58bcc6176b3b8
kharitonov2021text,Text-Free Prosody-Aware Generative Spoken Language Modeling,C,arxiv,2109.03264v2,2109.03264,,65b20b3e6f81f6567e41e353a47a2380c6cc4b77
nguyen2023generative,Generative Spoken Dialogue Language Modeling,C,arxiv,2203.16502v2,2203.16502,,5a29401272d58c20bcd95728f646c186f62b6c48
popuri2022enhanced,Enhanced Direct Speech-to-Speech Translation Using Self-supervised Pre-training and Data Augmentation,B,arxiv,2204.02967v3,2204.02967,,d6572f2250337975fc4a54abfcdf08b4829b2cfc
inaguma2022unity,UnitY: Two-pass Direct Speech-to-speech Translation with Discrete Units,B,arxiv,2212.08055v2,2212.08055,,7e488d31bcc7453c0f30554f867703bb54925bc8
chang2022speechprompt,SpeechPrompt: An Exploration of Prompt Tuning on Generative Spoken Language Model for Speech Processing Tasks,B,arxiv,2203.16773v3,2203.16773,,5d1c711c1d5b5f8399938af5e3df904680ce24a7
chang2023speechprompt,SpeechPrompt v2: Prompt Tuning for Speech Classification Tasks,B,arxiv,2303.00733v1,2303.00733,,b50c27607d7a858297232310bbec9819ade875a8
hsu2023exploration,An Exploration of In-Context Learning for Speech Language Model,B,semantic_scholar,d628f3c65e0c8c3024d9ff0678d44383fc9fe27c,,,d628f3c65e0c8c3024d9ff0678d44383fc9fe27c
kuan2023towards,Towards General-Purpose Text-Instruction-Guided Voice Conversion,B,arxiv,2309.14324v2,2309.14324,,278b53e048ce8c52a32192b6096de31335a385d5
zeng2024glm,GLM-4-Voice: Towards Intelligent and Human-Like End-to-End Spoken Chatbot,B,arxiv,2412.02612,2412.02612,,164e9a9ab16ecf675d1a82325282ef0aaa29d3b7
huang2023dynamic,"Dynamic-SUPERB: Towards A Dynamic, Collaborative, and Comprehensive Instruction-Tuning Benchmark for Speech",B,arxiv,2309.09510v2,2309.09510,,786294f4008732a5dac9895a8507bc4c80450075
huang2024dynamic,Dynamic-SUPERB Phase-2: A Collaboratively Expanding Benchmark for Measuring the Capabilities of Spoken Language Models with 180 Tasks,B,arxiv,2411.05361v2,2411.05361,,125858649920909590356c7f9586ad9a5c3163f1
xu2025qwen2,Qwen2.5-Omni Technical Report,B,arxiv,2503.20215,2503.20215,,2024e5247104cf2261314e813e0bf8d48467ec43
liu2023pre,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing",B,arxiv,2107.13586v1,2107.13586,,28692beece311a90f5fa1ca2ec9d0c2ce293d069
lester2021power,The Power of Scale for Parameter-Efficient Prompt Tuning,B,arxiv,2104.08691v2,2104.08691,,ffdbd7f0b03b85747b001b4734d5ee31b5229aa4
chang2023exploring,"Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study",B,arxiv,2309.15800v1,2309.15800,,bb4c59fc93d5be6b3d85dfde9d08e3dab80db9b7
wang2023selm,SELM: Speech Enhancement Using Discrete Tokens and Language Models,B,arxiv,2312.09747v2,2312.09747,,7eb3b416f4537e431d27bdb5fde2d22b73e5e0cc
wu2024codec,Codec-SUPERB: An In-Depth Analysis of Sound Codec Models,B,arxiv,2402.13071v3,2402.13071,,5bde820a55815dc30bf4e871444d763680ba7e2e
zhang2023dub,DUB: Discrete Unit Back-translation for Speech Translation,B,arxiv,2305.11411v1,2305.11411,,9d4254074690c4b2f162c0b9631f36363cbd5c7b
wu2024toksing,TokSing: Singing Voice Synthesis based on Discrete Tokens,B,arxiv,2406.08416v2,2406.08416,,c86e421a185b7e46d80a03568ad40c39c1899242
yip2024towards,Towards Audio Codec-based Speech Separation,B,arxiv,2406.12434v2,2406.12434,,455d1f14b2bb4515ed3676e098c2f79748eefc29
chung2021w2v,W2v-BERT: Combining Contrastive Learning and Masked Language Modeling for Self-Supervised Speech Pre-Training,B,arxiv,2108.06209v2,2108.06209,,ebe259796870ebccf26577044d0087884209b884
hsu2021hubert,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,B,arxiv,2106.07447v1,2106.07447,,4fffa5245d3972077c83614c2a08a47cb578631e
chen2022wavlm,WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,B,arxiv,2110.13900v5,2110.13900,,416dab850fda842b13a4f28164514d98f836fff7
baevski2020wav2vec,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,B,arxiv,2006.11477v3,2006.11477,,49a049dc85e2380dde80501a984878341dd8efdf
chang2023exploration,Exploration of Efficient End-to-End ASR using Discretized Input from Self-Supervised Learning,B,arxiv,2305.18108v1,2305.18108,,47ba7df38e24da9bad9266d2b58abbb2b70db6e5
pasad2023comparative,Comparative layer-wise analysis of self-supervised speech models,B,arxiv,2211.03929v3,2211.03929,,901e2c286da05e34669c2aef50ed9b4b54d81451
goodfellow2020generative,Generative Adversarial Networks,C,arxiv,1406.2661v1,,,6296aa7cab06eaf058f7291040b320b5a83c0091
kong2020hifigan,HiFi-GAN: Generative Adversarial Networks for Efficient and High Fidelity Speech Synthesis,B,arxiv,2010.05646v2,2010.05646,,4e468d3da1797d791db8d514d695b183acb027ee
oord2016wavenet,WaveNet: A Generative Model for Raw Audio,B,arxiv,1609.03499v2,1609.03499,,df0402517a7338ae28bc54acaac400de6b456a46
prenger2018waveglow,WaveGlow: A Flow-based Generative Network for Speech Synthesis,B,arxiv,1811.00002v1,1811.00002,,220d47d9b2872f0f0c33084fb4425424d91fa0ac
transformer,Attention Is All You Need,C,arxiv,1706.03762v7,1706.03762,,204e3073870fae3d05bcbc2f6a8e263d9b72e776
somos,SOMOS: The Samsung Open MOS Dataset for the Evaluation of Neural Text-to-Speech Synthesis,C,arxiv,2204.03040v2,2204.03040,,54815a913d2c41245ac583523f4b36a6bcd34b4e
yang2023towards,Towards Universal Speech Discrete Tokens: A Case Study for ASR and TTS,B,arxiv,2309.07377v2,2309.07377,,fe3f5c5209557cd93a98de61afeb325db545740e
wang2021dwer,Sequential Multi-Frame Neural Beamforming for Speech Separation and Enhancement,B,arxiv,1911.07953v3,1911.07953,,72858af574469350ebe64aa5a920e643f37232d9
